pan_id,date,season,temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,sunshine_hours,water_depth_cm,brine_density_be,salt_thickness_mm,days_since_last_rain,precipitation_7d_forecast_mm,precipitation_probability_pct,next7d_rain_mm,harvest_readiness,climate_risk,harvest_ready_flag,yield_kg,action_recorded,area_m2,latitude,longitude
PAN-1,2021-03-18,summer,34.05,48.89,9.9,0.0,9.51,12.0,12.21,0.0,3,1.26,10.0,0.0,0.0,0.0563,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-19,summer,33.57,40.19,10.74,6.08,9.62,12.0,12.3,0.0,0,0.0,3.5,0.0,0.0338,0.0219,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-20,summer,32.76,52.67,10.29,0.0,10.49,12.0,12.51,0.0,1,3.65,7.2,3.93,0.0619,0.0629,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-21,summer,35.92,34.37,8.98,0.0,8.96,12.0,12.81,0.0,2,0.06,1.5,0.0,0.017,0.041,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-22,summer,36.22,37.95,4.93,0.0,9.39,12.0,13.02,0.0,3,0.26,6.1,0.0,0.0704,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-23,summer,32.44,30.93,9.29,0.0,10.43,12.0,13.3,0.0,4,16.4,25.0,20.0,0.0147,0.1318,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-24,summer,34.36,29.78,10.76,0.0,11.33,12.0,13.65,0.0,5,0.22,2.6,0.0,0.0,0.0161,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-25,summer,35.25,34.88,11.2,0.0,12.55,12.0,14.02,0.0,6,0.35,1.4,0.0,0.0,0.0434,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-26,summer,35.47,50.05,9.55,0.0,11.94,12.0,14.27,0.0,7,15.68,24.3,13.56,0.0741,0.0939,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-27,summer,29.39,33.87,10.23,8.26,11.79,12.0,14.28,0.0,0,0.0,4.5,0.0,0.0655,0.0834,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-28,summer,33.41,38.84,8.62,0.0,9.91,12.0,14.52,0.0,1,5.85,30.0,5.73,0.012,0.1597,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-29,summer,36.28,39.24,4.04,0.0,9.2,12.0,14.71,0.0,2,0.58,5.2,0.0,0.0,0.1388,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-30,summer,33.08,32.52,7.74,0.0,10.54,12.0,14.96,0.0,3,2.88,9.4,3.07,0.0815,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-03-31,summer,33.8,44.83,2.14,0.0,10.37,12.0,15.09,0.0,4,0.0,7.5,0.0,0.0246,0.1028,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-01,summer,34.82,33.08,0.0,0.0,11.03,12.0,15.21,0.0,5,8.32,14.0,8.88,0.0,0.093,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-02,summer,37.72,45.75,9.42,0.0,12.01,12.0,15.52,0.0,6,0.25,10.3,0.0,0.011,0.0153,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-03,summer,35.85,24.99,7.74,0.0,10.19,12.0,15.84,0.0,7,19.12,21.5,23.85,0.0002,0.1628,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-04,summer,35.09,23.12,0.0,0.0,12.08,12.0,15.99,0.0,8,10.01,30.5,12.1,0.0122,0.1472,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-05,summer,32.04,35.63,10.04,0.0,12.29,12.0,16.27,0.0,9,0.01,0.0,0.0,0.0,0.0238,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-06,summer,35.24,38.74,5.67,0.0,10.78,12.0,16.49,0.0,10,1.27,16.4,0.0,0.0,0.0067,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-07,summer,33.33,34.83,7.76,0.0,11.46,12.0,16.75,0.0,11,6.6,23.5,8.65,0.0157,0.15,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-08,summer,35.27,35.62,6.9,0.0,10.63,12.0,17.01,0.0,12,0.0,0.0,0.0,0.0,0.077,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-09,summer,33.26,41.27,12.43,0.0,11.71,12.0,17.32,0.0,13,11.71,16.3,11.06,0.0,0.1697,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-10,summer,36.01,44.37,0.27,0.0,11.83,12.0,17.44,0.0,14,22.36,24.3,22.72,0.0055,0.2924,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-11,summer,34.1,37.0,15.98,0.0,13.0,12.0,17.88,0.0,15,4.86,13.3,6.0,0.0,0.1065,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-12,summer,36.11,43.87,5.86,0.0,12.63,12.0,18.11,0.0,16,0.0,2.8,0.0,0.0703,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-13,summer,33.44,38.76,0.58,0.0,11.75,12.0,18.23,0.0,17,2.38,14.1,2.03,0.0,0.0293,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-14,summer,30.77,27.04,5.03,0.0,9.87,12.0,18.42,0.0,18,0.22,11.6,0.0,0.0,0.0367,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-15,summer,37.81,46.6,11.95,0.0,9.79,12.0,18.75,0.0,19,29.38,38.1,28.79,0.0157,0.261,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-16,summer,35.4,33.2,5.14,0.0,10.6,12.0,18.98,0.0,20,0.0,10.7,0.0,0.046,0.0582,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-17,summer,35.9,31.57,0.55,0.0,13.0,12.0,19.13,0.0,21,0.51,4.8,0.0,0.0758,0.021,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-18,summer,33.3,27.43,1.06,0.0,12.65,12.0,19.28,0.0,22,1.91,8.9,0.0,0.0078,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-19,summer,33.91,42.35,2.66,0.0,11.04,12.0,19.42,0.0,23,0.99,7.4,0.0,0.006,0.1002,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-20,summer,35.96,33.89,12.44,0.0,11.38,12.0,19.82,0.0,24,47.0,41.9,49.26,0.0058,0.3684,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-21,summer,31.53,37.77,11.86,0.0,10.53,12.0,20.1,0.0,25,0.0,0.0,0.0,0.0,0.1077,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-22,summer,35.77,48.3,8.71,0.0,11.21,12.0,20.35,0.0,26,0.43,16.2,0.0,0.065,0.0554,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-23,summer,35.99,33.06,10.11,0.0,11.07,12.0,20.7,0.0,27,15.9,15.8,15.66,0.0312,0.0857,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-24,summer,37.2,31.23,2.39,0.0,10.92,12.0,20.9,0.0,28,0.12,0.0,0.0,0.009,0.0508,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-25,summer,36.53,38.31,0.0,0.0,9.8,12.0,21.02,0.0,29,0.0,0.0,0.0,0.0311,0.0523,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-26,summer,36.56,30.31,11.32,0.0,10.12,12.0,21.41,0.0,30,0.47,12.3,0.0,0.0725,0.0269,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-27,summer,35.39,25.0,6.66,0.0,11.56,12.0,21.71,0.0,31,3.18,15.9,4.06,0.0,0.0406,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-28,summer,31.24,33.06,13.79,0.0,11.43,12.0,22.05,0.0,32,0.15,3.4,0.0,0.0014,0.0,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-29,summer,33.05,34.26,11.38,0.0,10.54,12.0,22.36,0.0,33,0.0,16.9,0.0,0.0,0.0764,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-04-30,summer,36.37,34.17,6.81,0.0,12.07,12.0,22.65,0.0,34,8.51,17.7,8.72,0.0,0.1665,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-01,summer,40.58,33.14,7.52,0.0,12.97,12.0,23.05,0.0,35,0.33,18.6,0.0,0.0779,0.0827,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-02,summer,34.04,27.57,11.91,0.0,10.7,12.0,23.43,0.0,36,0.44,14.9,0.0,0.0,0.1452,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-03,summer,38.32,32.21,8.14,0.0,10.58,12.0,23.78,0.0,37,0.0,8.1,0.0,0.0,0.0876,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-04,summer,36.49,31.0,7.0,0.0,10.22,12.0,24.07,0.0,38,20.98,22.9,17.56,0.0,0.2949,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-05,summer,36.42,36.28,6.71,0.0,10.97,12.0,24.34,0.0,39,6.86,14.6,6.9,0.0,0.1505,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-06,summer,36.53,37.25,16.92,0.0,12.74,12.0,24.41,0.0,40,12.18,14.6,10.81,0.0497,0.1789,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-07,summer,37.99,15.0,4.17,0.0,9.7,12.0,24.71,0.0,41,11.25,27.5,10.76,0.1202,0.2454,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-08,summer,33.84,30.5,7.06,0.0,9.79,12.0,24.96,0.0,42,0.0,8.5,0.0,0.1128,0.0983,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-09,summer,35.29,39.45,10.81,0.0,10.71,12.0,25.28,0.0,43,0.0,11.3,0.0,0.2309,0.1482,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-10,summer,32.18,24.58,6.4,0.0,8.93,11.81,24.6,0.0,44,0.67,4.5,0.0,0.0191,0.132,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-11,summer,30.72,42.09,7.15,0.0,8.93,12.0,24.44,0.0,45,0.0,19.2,0.0,0.0531,0.195,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-12,summer,32.36,38.01,16.28,0.0,10.68,12.0,24.8,0.0,46,11.06,10.9,10.99,0.1099,0.1898,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-13,summer,33.88,34.06,8.54,0.0,10.85,12.0,25.08,0.0,47,21.67,25.4,20.49,0.0832,0.3344,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-14,summer,34.96,32.5,9.92,0.0,11.18,11.75,23.85,0.0,48,0.0,10.8,0.0,0.0,0.1357,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-15,summer,32.95,34.87,8.21,0.0,11.76,12.0,23.69,0.0,49,18.65,32.8,17.08,0.074,0.2603,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-16,summer,36.05,33.24,7.83,0.0,11.75,12.0,24.0,0.0,50,0.02,12.2,0.0,0.0433,0.0845,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-17,summer,32.87,35.3,9.88,0.0,9.93,12.0,24.27,0.0,51,0.0,14.6,0.0,0.0,0.1104,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-18,summer,36.78,19.79,16.07,0.0,11.17,12.0,23.75,0.0,52,0.62,7.2,0.0,0.035,0.1397,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-19,summer,34.52,30.1,5.46,0.0,10.95,12.0,23.99,0.0,53,0.31,5.7,0.0,0.0,0.0613,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-20,summer,33.68,35.19,8.59,0.0,10.49,12.0,24.26,0.0,54,29.51,32.2,25.3,0.0282,0.3088,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-21,summer,34.75,33.83,9.35,0.0,11.3,12.0,24.57,0.0,55,0.0,11.9,0.0,0.0686,0.1374,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-22,summer,34.25,29.77,8.46,0.0,11.65,12.0,24.88,0.0,56,0.0,11.3,0.0,0.1268,0.0862,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-23,summer,35.64,48.43,9.89,0.0,11.81,12.0,25.15,0.0,57,16.43,21.6,18.01,0.1095,0.3225,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-24,summer,34.53,36.75,6.07,0.0,9.54,11.83,24.51,0.0,58,29.18,41.6,34.79,0.0412,0.3265,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-25,summer,33.62,44.29,7.84,0.0,10.47,12.0,24.43,0.0,59,0.93,0.0,0.0,0.0173,0.2467,0,0.0,,2400.0,8.7642,78.1348
PAN-1,2021-05-26,summer,33.92,22.54,5.67,0.0,11.29,12.0,24.69,0.0,60,0.65,9.3,0.0,0.1361,0.167,0,0.0,,2400.0,8.7642,78.1348
